Frequency, Mag (ohms), Phase (deg)
300000.0, 134.84094627099384, 69.63813375811134
308434.14799682, 159.95600332953936, 76.10169363495645
317105.412168414, 187.3589469004761, 80.56431200298537
326020.458757817, 216.36263140482112, 83.67848027599754
335186.141421666, 246.5616561076838, 85.86819148317002
344609.50649911, 277.70785861606606, 87.40742840928537
354297.798428859, 309.64296784788365, 88.47649649049826
364258.465318514, 342.26201070301164, 89.19711100218024
374499.164670483, 375.49284189677905, 89.65363482733574
385027.769268871, 409.28427035069893, 89.90602414411799
395852.373231868, 443.59891195543025, 89.99787650600496
406981.298234301, 478.4087309816556, 89.96155457103535
418423.099905121, 513.692162976241, 89.8215285176029
430186.574404748, 549.4321974742342, 89.5966082463243
442280.76518733, 585.6150601947412, 89.30146734518776
454714.969953119, 622.229279589409, 88.947704987378
467498.747796299, 659.2650057792471, 88.54459991574534
480641.926553772, 696.713498932552, 88.09965515074852
494154.610360543, 734.566733804421, 87.61899783739283
508047.187417515, 772.8170855623212, 87.10767711063141
522330.337977674, 811.4570737025173, 86.5698890360491
537015.042556782, 850.4791484340188, 86.0091486446129
552112.590374924, 889.8755089138092, 85.42842306705043
567634.588035356, 929.6379460899032, 84.83023570710864
583592.96844737, 969.7577052211918, 84.21674860112832
599999.999999999, 1010.2253647541708, 83.58982816719411
616868.295993638, 1051.030729376377, 82.95109817515531
634210.824336827, 1092.1627358830387, 82.30198278854508
652040.917515633, 1133.6093710850482, 81.64374182083634
670372.28284333, 1175.3576014170205, 80.97749983063949
689219.012998219, 1217.3933142176825, 80.3042702981231
708595.596857716, 1259.701270880457, 79.62497583994366
728516.930637026, 1302.2650722289484, 78.94046520559564
748998.329340965, 1345.0671365736607, 78.25152763548782
770055.53853774, 1388.0886909627561, 77.5589050367499
791704.746463734, 1431.3097761551498, 76.86330233707191
813962.596468601, 1474.7092658253532, 76.16539630272696
836846.199810241, 1518.2649004574782, 75.46584304915274
860373.148809494, 1561.953336304988, 74.76528442724717
884561.530374658, 1605.7502096835567, 74.06435343301219
909429.939906236, 1649.6302167312133, 73.36367876022707
934997.495592596, 1693.5672086135444, 72.66388859381591
