FREQUENCY [Hz],MAG [Ω],PHASE [deg]
100000,193.417,-6.79148
101509.14,193.375,-6.87945
103041.056,193.349,-6.99026
104596.09,193.336,-7.09573
106174.592,193.277,-7.2
107776.915,193.195,-7.31223
109403.42,193.149,-7.43223
111054.472,193.129,-7.54341
112730.439,193.065,-7.65035
114431.7,192.988,-7.7709
116158.635,192.934,-7.88122
117911.632,192.894,-8.00724
119691.084,192.829,-8.1167
121497.39,192.773,-8.23897
123330.956,192.706,-8.36433
125192.194,192.639,-8.48505
127081.52,192.552,-8.61443
128999.358,192.527,-8.74692
130946.14,192.446,-8.87694
132922.301,192.353,-9.00883
134928.285,192.28,-9.1368
136964.542,192.21,-9.27488
139031.529,192.117,-9.40615
141129.71,192.017,-9.55842
143259.556,191.958,-9.7111
145421.543,191.923,-9.83433
147616.159,191.834,-9.95849
149843.894,191.651,-10.1195
152105.248,191.62,-10.2801
154400.73,191.521,-10.432
156730.854,191.463,-10.5915
159096.142,191.325,-10.7517
161497.126,191.247,-10.9021
163934.345,191.121,-11.0555
166408.344,190.962,-11.2134
168919.68,190.923,-11.3887
171468.915,190.792,-11.557
174056.621,190.665,-11.7279
176683.38,190.533,-11.8988
179349.78,190.451,-12.0603
182056.42,190.334,-12.2445
184803.907,190.197,-12.4255
187592.858,190.025,-12.6059
190423.897,189.893,-12.7849
193297.661,189.752,-12.9801
196214.794,189.624,-13.1597
199175.951,189.468,-13.3561
202181.795,189.344,-13.5447
205233.003,189.139,-13.7481
208330.257,189.021,-13.9373
211474.253,188.836,-14.1442
214665.696,188.668,-14.3524
217905.303,188.471,-14.5569
221193.8,188.29,-14.7721
224531.925,188.104,-14.9758
227920.426,187.909,-15.1974
231360.066,187.727,-15.408
234851.614,187.531,-15.6314
238395.854,187.335,-15.8545
241993.582,187.104,-16.0818
245645.605,186.873,-16.3035
249352.742,186.662,-16.5451
253115.825,186.41,-16.7778
256935.698,186.2,-17.0185
260813.219,185.973,-17.2534
264749.256,185.706,-17.501
268744.694,185.422,-17.749
272800.429,185.183,-17.9957
276917.37,184.931,-18.2461
281096.442,184.658,-18.5063
285338.582,184.347,-18.7713
289644.742,184.063,-19.0235
294015.887,183.76,-19.2878
298453,183.458,-19.555
302957.075,183.131,-19.8221
307529.122,182.821,-20.1039
312170.168,182.492,-20.3857
316881.254,182.117,-20.6625
321663.437,181.802,-20.9431
326517.79,181.458,-21.2385
331445.402,181.068,-21.5344
336447.378,180.718,-21.8249
341524.841,180.348,-22.1214
346678.931,179.928,-22.4273
351910.802,179.538,-22.727
357221.63,179.136,-23.0248
362612.606,178.728,-23.3464
368084.939,178.285,-23.659
373639.858,177.846,-23.9677
379278.608,177.418,-24.2886
385002.454,176.954,-24.6161
390812.682,176.456,-24.9385
396710.594,176.002,-25.2689
402697.513,175.513,-25.5996
408774.784,175.003,-25.9444
