FREQUENCY [Hz],MAG [Ω],PHASE [deg]
<segment> 49.9  # 3.251 m, 49.9 ohm resistor load
100000.000,51.1625,1.40334
101333.391,51.1653,1.42816
102684.561,51.1641,1.43859
104053.747,51.1802,1.46447
105441.190,51.1614,1.47757
106847.133,51.1699,1.49310
108271.823,51.1659,1.51926
109715.510,51.1717,1.52936
111178.446,51.1717,1.55209
112660.889,51.1728,1.57590
114163.099,51.1700,1.59317
115685.339,51.1635,1.61616
117227.877,51.1716,1.63203
118790.983,51.1797,1.64258
120374.931,51.1711,1.68167
121979.999,51.1781,1.70199
123606.469,51.1816,1.71760
125254.626,51.1737,1.74734
126924.760,51.1853,1.76887
128617.163,51.1813,1.78847
130332.132,51.1927,1.82390
132069.969,51.1841,1.82007
133830.977,51.1973,1.86572
135615.467,51.1857,1.87431
137423.751,51.1943,1.90645
139256.147,51.1804,1.93548
141112.976,51.1902,1.95849
142994.563,51.2013,1.97204
144901.239,51.1929,2.00091
146833.339,51.1880,2.03887
148791.201,51.2043,2.05659
150775.169,51.1990,2.06925
152785.591,51.1965,2.10958
154822.820,51.2020,2.13968
156887.214,51.2065,2.17545
158979.133,51.2163,2.19174
161098.946,51.2131,2.22562
163247.025,51.2266,2.24663
165423.745,51.2147,2.28355
167629.490,51.2238,2.30581
169864.646,51.2260,2.34059
172129.606,51.2274,2.36407
174424.766,51.2412,2.39703
176750.530,51.2319,2.43887
179107.305,51.2340,2.45891
181495.505,51.2370,2.49716
183915.550,51.2439,2.52311
186367.863,51.2483,2.55858
188852.874,51.2412,2.59365
191371.021,51.2552,2.61743
193922.745,51.2485,2.65260
196508.493,51.2541,2.69001
199128.719,51.2631,2.73441
201783.883,51.2688,2.76454
204474.450,51.2720,2.80380
207200.894,51.2706,2.83482
209963.691,51.2727,2.87585
212763.328,51.2769,2.90975
215600.294,51.2787,2.95050
218475.089,51.2897,2.97901
221388.215,51.2968,3.01341
224340.185,51.3064,3.06603
227331.517,51.3031,3.10091
230362.734,51.3014,3.14261
233434.369,51.3093,3.18254
236546.962,51.3093,3.21051
239701.057,51.3154,3.26464
242897.209,51.3225,3.30672
246135.978,51.3257,3.34217
249417.932,51.3314,3.39430
252743.648,51.3413,3.43835
256113.708,51.3497,3.47889
259528.705,51.3492,3.52387
262989.236,51.3551,3.57645
266495.911,51.3589,3.61897
270049.342,51.3666,3.65998
273650.155,51.3725,3.71870
277298.981,51.3794,3.76238
280996.460,51.3819,3.80847
284743.241,51.3904,3.86341
288539.981,51.3995,3.91391
292387.347,51.4081,3.95179
296286.012,51.4114,4.01166
300236.663,51.4132,4.05755
304239.991,51.4215,4.11289
308296.699,51.4313,4.16021
312407.498,51.4425,4.21922
316573.111,51.4432,4.27495
320794.268,51.4528,4.32542
325071.709,51.4631,4.38630
329406.185,51.4732,4.44529
333798.456,51.4749,4.48614
338249.294,51.4850,4.54598
342759.479,51.4959,4.60507
347329.802,51.5028,4.66428
351961.066,51.5132,4.73430
356654.082,51.5300,4.79164
361409.675,51.5348,4.84517
366228.678,51.5368,4.91750
371111.937,51.5606,4.98799
376060.309,51.5699,5.04212
381074.663,51.5777,5.11215
386155.877,51.5858,5.16889
391304.844,51.5988,5.23275
396522.466,51.6093,5.30524
401809.660,51.6295,5.37234
407167.353,51.6365,5.44387
412596.485,51.6452,5.50736
418098.008,51.6652,5.58479
423672.889,51.6752,5.65597
429322.104,51.6855,5.72881
435046.645,51.7027,5.80256
440847.517,51.7198,5.87134
446725.737,51.7315,5.94132
452682.336,51.7454,6.01410
458718.361,51.7591,6.09291
464834.869,51.7761,6.17230
471032.934,51.7852,6.25169
477313.644,51.8080,6.32643
483678.100,51.8284,6.41922
490127.419,51.8411,6.48964
496662.733,51.8548,6.57188
503285.188,51.8757,6.66044
509995.946,51.8930,6.74375
516796.185,51.9170,6.82936
523687.097,51.9346,6.91433
530669.892,51.9411,7.00006
537745.796,51.9746,7.08452
544916.048,51.9915,7.17388
552181.909,52.0096,7.27086
559544.651,52.0349,7.36103
567005.568,52.0526,7.44791
574565.968,52.0771,7.54120
582227.177,52.1054,7.64265
589990.541,52.1202,7.73266
597857.420,52.1448,7.82500
605829.195,52.1745,7.92982
613907.266,52.2009,8.02481
622093.049,52.2290,8.12739
630387.980,52.2490,8.23290
638793.515,52.2787,8.32817
647311.129,52.3129,8.43770
655942.315,52.3364,8.53308
664688.590,52.3619,8.63639
673551.486,52.3914,8.73994
682532.559,52.4239,8.84728
691633.385,52.4522,8.96300
700855.561,52.4796,9.07569
710200.704,52.5155,9.18220
719670.454,52.5459,9.28773
729266.474,52.5799,9.40399
738990.445,52.6148,9.52198
748844.076,52.6552,9.64608
758829.093,52.6748,9.76030
768947.250,52.7159,9.87654
779200.322,52.7546,10.0012
789590.107,52.7932,10.1140
800118.429,52.8335,10.2368
810787.134,52.8738,10.3614
821598.094,52.9148,10.4855
832553.207,52.9600,10.6145
843654.395,53.0005,10.7359
854903.605,53.0431,10.8609
866302.810,53.0878,10.9920
877854.012,53.1321,11.1277
889559.236,53.1775,11.2585
901420.537,53.2263,11.3861
913439.995,53.2735,11.5258
925619.719,53.3156,11.6573
