FREQUENCY [ Hz],MAG [ohm],PHASE [deg]
1000000.000,211.816,-86.4154
1005000.000,212.131,-86.2993
1010000.000,211.097,-86.4272
1015000.000,210.190,-86.3123
1020000.000,208.761,-86.2972
1025000.000,207.862,-86.3130
1030000.000,206.473,-86.3092
1035000.000,205.644,-86.3045
1040000.000,204.398,-86.2949
1045000.000,202.648,-86.4092
1050000.000,201.639,-86.3660
1055000.000,200.732,-86.3822
1060000.000,199.701,-86.3263
1065000.000,198.984,-86.2983
1070000.000,197.316,-86.3952
1075000.000,196.284,-86.3592
1080000.000,195.392,-86.3144
1085000.000,194.382,-86.3792
1090000.000,194.024,-85.8161
1095000.000,192.446,-86.4074
1100000.000,191.197,-86.4079
1105000.000,190.340,-86.4342
1110000.000,189.241,-86.4402
1115000.000,187.935,-86.4308
1120000.000,186.963,-86.4704
1125000.000,186.031,-86.4592
1130000.000,184.653,-86.4792
1135000.000,183.842,-86.4500
1140000.000,182.610,-86.4285
1145000.000,181.703,-86.6003
1150000.000,180.784,-86.5029
1155000.000,179.590,-86.4773
1160000.000,178.794,-86.5229
1165000.000,177.403,-86.5046
1170000.000,176.504,-86.4342
1175000.000,175.347,-86.4206
1180000.000,174.653,-86.4388
1185000.000,173.559,-86.3722
1190000.000,172.512,-86.3791
1195000.000,171.621,-86.4387
1200000.000,170.544,-86.4396
1205000.000,169.718,-86.3909
1210000.000,168.767,-86.4102
1215000.000,167.930,-86.3214
1220000.000,166.893,-86.2563
1225000.000,165.837,-86.3453
1230000.000,165.102,-86.3237
1235000.000,164.050,-86.2898
1240000.000,163.383,-86.2325
1245000.000,162.377,-86.1909
1250000.000,161.402,-86.2235
1255000.000,160.793,-86.2009
1260000.000,159.833,-86.1442
1265000.000,158.751,-86.0885
1270000.000,158.001,-86.1666
1275000.000,157.136,-86.0763
1280000.000,156.245,-86.0053
1285000.000,155.657,-86.0246
1290000.000,154.665,-85.9598
1295000.000,153.999,-85.9621
1300000.000,153.057,-85.9842
1305000.000,152.259,-85.9408
1310000.000,151.697,-85.8857
1315000.000,151.073,-85.7904
1320000.000,150.218,-85.8294
1325000.000,149.294,-85.8154
1330000.000,148.688,-85.7917
1335000.000,148.034,-85.7856
1340000.000,146.921,-85.6927
1345000.000,146.399,-85.7474
1350000.000,145.443,-85.5730
1355000.000,144.647,-85.5920
1360000.000,143.961,-85.5739
1365000.000,143.247,-85.6807
1370000.000,142.323,-85.5569
