FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
10000,39.6462,87.2105
10191.839,40.4044,87.1924
10387.359,41.1259,87.2104
10586.63,41.9179,87.1953
10789.723,42.6449,87.1992
10996.713,43.434,87.1847
11207.673,44.2256,87.2253
11422.68,45.0576,87.2123
11641.812,45.871,87.2028
11865.148,46.7052,87.1902
12092.769,47.5452,87.2118
12324.756,48.4387,87.2443
12561.193,49.3355,87.2328
12802.167,50.2257,87.2261
13047.763,51.1407,87.2783
13298.07,52.0972,87.2158
13553.18,53.0294,87.2241
13813.183,53.9758,87.2034
14078.175,54.9828,87.2368
14348.25,55.9916,87.2228
14623.506,57.0087,87.2509
14904.042,58.0403,87.2416
15189.961,59.1129,87.2255
15481.364,60.2143,87.2417
15778.358,61.2958,87.2635
16081.049,62.3951,87.2658
16389.547,63.5544,87.2303
16703.963,64.6888,87.2595
17024.411,65.8947,87.2505
17351.007,67.0786,87.2382
17683.867,68.324,87.2665
18023.114,69.5543,87.2575
18368.868,70.8366,87.2693
18721.256,72.1136,87.2398
19080.403,73.3989,87.2619
19446.441,74.786,87.273
19819.5,76.1051,87.2972
20199.717,77.4923,87.2674
20587.227,78.9045,87.2505
20982.171,80.3612,87.246
21384.692,81.8155,87.2639
21794.935,83.334,87.2514
22213.048,84.743,87.2196
22639.182,86.3811,87.2612
23073.491,87.9598,87.2415
23516.131,89.5433,87.2685
23967.263,91.2167,87.2604
24427.05,92.8734,87.2595
24895.657,94.5679,87.2463
25373.254,96.3194,87.259
25860.014,98.0762,87.2371
26356.111,99.8572,87.229
26861.725,101.73,87.2378
27377.039,103.574,87.2646
27902.239,105.452,87.2397
28437.514,107.371,87.2227
28983.058,109.339,87.2127
29539.067,111.363,87.1977
30105.743,113.482,87.1597
30683.29,115.554,87.1593
31271.917,117.679,87.1711
31871.835,119.816,87.1665
32483.263,122.016,87.1494
33106.42,124.221,87.1334
33741.532,126.498,87.1343
34388.828,128.864,87.1102
35048.541,131.196,87.1173
35720.911,133.611,87.1195
36406.179,136.072,87.1071
37104.593,138.547,87.0989
37816.406,141.097,87.0968
38541.874,143.72,87.0848
39281.259,146.341,87.0841
40034.829,149.092,87.0708
40802.855,151.826,87.0642
41585.615,154.63,87.0496
42383.391,157.5,87.0337
43196.472,160.414,87.023
44025.15,163.374,87.0158
44869.727,166.424,86.9907
45730.505,169.485,86.9815
46607.797,172.658,86.9729
47501.918,175.852,86.9544
48413.193,179.143,86.9416
49341.949,182.476,86.9213
50288.522,185.874,86.9133
51253.255,189.326,86.893
52236.494,192.904,86.8712
53238.597,196.483,86.8541
54259.923,200.194,86.8253
55300.843,203.923,86.8088
56361.731,207.766,86.792
57442.972,211.681,86.7607
58544.955,215.668,86.7257
59668.078,219.752,86.7112
60812.747,223.884,86.688
61979.376,228.134,86.6655
63168.385,232.429,86.6209
64380.204,236.841,86.596
65615.271,241.347,86.562
66874.03,245.936,86.5312
68156.938,250.593,86.4913
69464.458,255.41,86.4523
70797.06,260.254,86.416
72155.227,265.249,86.3824
73539.449,270.389,86.3341
74950.226,275.476,86.2944
76388.068,280.826,86.2538
77853.492,286.263,86.2077
79347.03,291.776,86.1536
80869.219,297.409,86.0955
82420.61,303.127,86.0556
84001.763,309.028,85.9946
85613.248,315.079,85.9258
87255.648,321.182,85.8688
88929.556,327.441,85.8016
90635.576,333.886,85.7386
92374.324,340.373,85.6664
94146.428,347.073,85.5935
95952.529,353.866,85.5115
97793.277,360.886,85.4414
99669.338,368.13,85.3641
101581.389,375.433,85.2735
103530.121,382.866,85.1811
105516.238,390.441,85.0845
107540.456,398.202,84.987
109603.507,406.078,84.8847
111706.134,414.145,84.7744
113849.099,422.401,84.6638
116033.174,430.824,84.5428
118259.149,439.432,84.4204
120527.826,448.207,84.2881
122840.026,457.147,84.1527
125196.582,466.276,84.0082
127598.347,475.599,83.8587
130046.187,485.122,83.7098
132540.986,494.828,83.5473
135083.646,504.675,83.3778
137675.083,514.688,83.1972
140316.235,524.985,83.019
143008.054,535.445,82.8355
145751.514,546.142,82.6391
148547.603,556.934,82.4397
151397.333,567.986,82.207
154301.731,579.18,82.0172
157261.848,590.688,81.7967
160278.751,602.286,81.5624
163353.53,614.05,81.3287
166487.295,625.976,81.0858
169681.179,638.212,80.8371
172936.334,650.59,80.5888
176253.936,663.258,80.3323
179635.182,676.105,80.0607
183081.294,689.138,79.7931
186593.516,702.34,79.5128
190173.116,715.823,79.2355
193821.388,729.535,78.9399
197539.647,743.392,78.6537
201329.237,757.438,78.3588
205191.527,771.765,78.0555
209127.911,786.378,77.7463
213139.809,801.157,77.4352
217228.673,816.154,77.1166
221395.976,831.51,76.7919
225643.225,847.047,76.4619
229971.953,862.838,76.1295
234383.723,878.909,75.7933
238880.128,895.308,75.4547
243462.792,911.929,75.1035
248133.37,928.927,74.7521
252893.547,946.026,74.3921
257745.044,963.536,74.0227
262689.611,981.413,73.6506
267729.035,999.52,73.2713
272865.135,1017.9,72.8816
278099.766,1036.58,72.4898
283434.817,1055.58,72.0769
288872.216,1074.92,71.6685
294413.926,1094.64,71.2499
300061.947,1114.57,70.8248
305818.32,1134.78,70.3804
311685.123,1155.36,69.9346
317664.474,1176.14,69.4763
323758.533,1197.27,69.0016
329969.499,1218.63,68.5201
336299.617,1240.29,68.0243
342751.172,1262.16,67.5178
349326.492,1284.22,67.0183
356027.954,1306.64,66.4917
362857.975,1329.15,65.9619
369819.024,1351.77,65.4103
376913.613,1374.68,64.8619
384144.304,1397.84,64.2999
391513.708,1420.99,63.7223
399024.487,1444.09,63.1373
406679.352,1467.41,62.533
414481.068,1490.78,61.9296
422432.451,1513.95,61.3241
430536.373,1537.61,60.7145
438795.76,1561.25,60.0852
447213.595,1584.61,59.451
455792.918,1607.89,58.8068
464536.826,1631.2,58.1638
473448.476,1654.57,57.5038
482531.087,1677.5,56.8542
491787.938,1700.63,56.1777
501222.372,1723.51,55.5213
510837.796,1745.99,54.8515
520637.682,1768.48,54.1709
530625.568,1790.16,53.5108
540805.062,1812.12,52.8529
551179.838,1834.18,52.1849
561753.643,1855.7,51.5082
572530.296,1876.34,50.8495
583513.687,1897.52,50.2134
594707.784,1918.33,49.5713
606116.627,1941.17,48.9377
617744.337,1961.95,48.2567
629595.112,1981.72,47.6128
641673.232,2003.74,46.9956
653983.058,2024.22,46.3136
666529.035,2044.29,45.6733
679315.693,2063.81,45.0342
692347.65,2084.3,44.3969
705629.612,2103.59,43.7684
719166.373,2123.58,43.1406
732962.824,2142.7,42.5176
747023.944,2161.05,41.9047
761354.813,2180.98,41.3226
775960.604,2200.58,40.7181
790846.592,2219.49,40.1322
806018.152,2239.65,39.5354
821480.762,2259.24,38.9198
837240.007,2278.16,38.3173
853301.575,2297.9,37.7304
869671.269,2316.92,37.1407
886354.997,2335.75,36.547
903358.785,2355.49,35.9669
920688.773,2374.34,35.3929
938351.219,2393.36,34.8144
956352.5,2413.21,34.2237
974699.116,2432.96,33.6405
993397.694,2451.87,33.0585
1012454.983,2471.51,32.4651
1031877.867,2491.38,31.8832
1051673.359,2511.18,31.3001
1071848.606,2531.32,30.7012
1092410.894,2550.41,30.0941
1113367.647,2570.85,29.5213
1134726.435,2591.02,28.9058
1156494.968,2611.38,28.2966
1178681.107,2631.54,27.6836
1201292.864,2651.24,27.0745
1224338.404,2672.11,26.4354
